Nr,t`s,Ch 00`V,Ch 01`V,Ch 02`V,Ch 03`V
1		,0.000000,0.000000,0.000000,-0.035645,0.000000
2		,0.000250,0.000000,0.000000,-0.036133,-0.004883
3		,0.000500,0.000000,0.000000,-0.036133,0.000000
4		,0.000750,0.000000,0.000000,-0.035156,0.000000
5		,0.001000,0.000000,0.000000,-0.033691,0.000000
6		,0.001250,0.000000,-0.004883,-0.035645,0.000000
7		,0.001500,0.000000,0.000000,-0.035156,0.000000
8		,0.001750,0.000000,0.000000,-0.036133,0.000000
9		,0.002000,0.000000,0.000000,-0.034668,0.000000
10		,0.002250,0.000000,0.000000,-0.035645,0.000000
11		,0.002500,0.000000,0.000000,-0.036133,0.000000
12		,0.002750,0.000000,0.000000,-0.035156,0.000000
13		,0.003000,0.000000,0.000000,-0.036133,-0.004883
14		,0.003250,0.000000,0.000000,-0.035156,0.000000
15		,0.003500,0.000000,0.000000,-0.035645,0.000000
16		,0.003750,0.000000,0.000000,-0.035645,0.000000
17		,0.004000,0.000000,0.000000,-0.035645,0.000000
18		,0.004250,0.000000,0.000000,-0.035645,0.000000
19		,0.004500,0.000000,0.000000,-0.035156,0.000000
20		,0.004750,0.000000,0.000000,-0.035645,-0.004883
21		,0.005000,0.000000,0.000000,-0.035156,0.000000
22		,0.005250,0.000000,0.000000,-0.034668,0.000000
23		,0.005500,0.000000,0.004883,-0.035156,-0.004883
24		,0.005750,0.000000,0.000000,-0.035156,0.000000
25		,0.006000,0.000000,0.000000,-0.035645,0.000000
26		,0.006250,0.000000,0.000000,-0.036133,0.000000
27		,0.006500,0.000000,0.000000,-0.036133,0.000000
28		,0.006750,0.000000,0.000000,-0.036621,0.000000
29		,0.007000,0.000000,0.000000,-0.036621,0.000000
30		,0.007250,0.000000,0.000000,-0.036621,0.000000
31		,0.007500,0.000000,0.000000,-0.036621,0.000000
32		,0.007750,0.000000,0.000000,-0.036133,0.000000
33		,0.008000,0.000000,0.000000,-0.036133,0.000000
34		,0.008250,0.000000,0.000000,-0.036621,0.000000
35		,0.008500,0.000000,0.000000,-0.036621,0.000000
36		,0.008750,0.000000,0.000000,-0.036621,0.000000
37		,0.009000,0.000000,0.000000,-0.036133,0.000000
38		,0.009250,0.000000,0.000000,-0.036621,0.000000
39		,0.009500,0.000000,0.000000,-0.035645,0.000000
40		,0.009750,0.000000,0.000000,-0.035156,0.000000
41		,0.010000,0.000000,0.000000,-0.035645,0.000000
42		,0.010250,0.000000,0.000000,-0.034668,0.000000
43		,0.010500,0.000000,0.000000,-0.034668,0.000000
44		,0.010750,0.000000,0.000000,-0.034180,0.000000
45		,0.011000,0.000000,0.000000,-0.033691,0.000000
46		,0.011250,0.000000,0.000000,-0.036621,0.000000
47		,0.011500,0.000000,0.000000,-0.035156,0.000000
48		,0.011750,0.000000,0.000000,-0.035645,0.000000
49		,0.012000,0.000000,0.000000,-0.035645,0.000000
50		,0.012250,0.004883,0.000000,-0.035156,0.000000
51		,0.012500,0.000000,0.000000,-0.035156,0.000000
52		,0.012750,0.000000,0.000000,-0.036133,0.000000
53		,0.013000,0.000000,0.000000,-0.036133,-0.004883
54		,0.013250,0.000000,0.000000,-0.034668,-0.004883
55		,0.013500,0.000000,0.000000,-0.035156,0.000000
56		,0.013750,0.000000,0.000000,-0.035645,-0.004883
57		,0.014000,0.000000,0.000000,-0.034668,-0.004883
58		,0.014250,0.000000,0.000000,-0.035645,0.000000
59		,0.014500,0.000000,0.000000,-0.035645,0.000000
60		,0.014750,0.000000,0.000000,-0.034668,0.000000
61		,0.015000,0.000000,0.000000,-0.035156,0.000000
62		,0.015250,0.000000,0.000000,-0.035156,0.000000
63		,0.015500,0.000000,0.004883,-0.034668,0.000000
64		,0.015750,0.000000,0.000000,-0.035156,0.000000
65		,0.016000,0.000000,0.000000,-0.034668,0.000000
66		,0.016250,0.000000,0.000000,-0.035156,0.000000
67		,0.016500,0.000000,0.000000,-0.035156,0.000000
68		,0.016750,0.000000,0.000000,-0.034180,0.000000
69		,0.017000,0.000000,0.000000,-0.034668,0.000000
70		,0.017250,-0.004883,0.000000,-0.033691,0.000000
71		,0.017500,0.000000,0.000000,-0.033691,0.000000
72		,0.017750,0.000000,0.000000,-0.034180,0.000000
73		,0.018000,-0.004883,-0.004883,-0.034180,0.000000
74		,0.018250,0.000000,0.000000,-0.034668,0.000000
75		,0.018500,0.000000,0.000000,-0.034180,0.000000
76		,0.018750,0.000000,0.000000,-0.034668,0.000000
77		,0.019000,0.000000,0.000000,-0.034668,0.000000
78		,0.019250,0.000000,0.000000,-0.034668,0.000000
79		,0.019500,0.000000,0.000000,-0.035156,0.000000
80		,0.019750,0.000000,0.000000,-0.035156,0.000000
81		,0.020000,0.000000,0.000000,-0.035645,0.000000
82		,0.020250,0.000000,0.000000,-0.036133,0.000000
83		,0.020500,0.000000,0.000000,-0.036133,0.000000
84		,0.020750,0.000000,0.004883,-0.035645,-0.004883
85		,0.021000,0.000000,0.000000,-0.032715,0.000000
86		,0.021250,0.000000,0.000000,-0.035156,0.000000
87		,0.021500,0.000000,0.000000,-0.035156,0.000000
88		,0.021750,0.000000,0.000000,-0.036133,0.000000
89		,0.022000,0.004883,0.000000,-0.032715,0.000000
90		,0.022250,0.000000,0.000000,-0.034668,-0.004883
