Nr		,t`s,Ch 00`V,Ch 01`V,Ch 02`V
1		,0.000000,-0.001118,0.201979,0.000036
2		,0.000500,-0.000796,0.199741,-0.000189
3		,0.001000,-0.002084,0.197954,-0.000125
4		,0.001500,-0.003212,0.197503,-0.000157
5		,0.002000,-0.004661,0.198421,-0.000189
6		,0.002500,-0.004983,0.199049,-0.000092
7		,0.003000,-0.006916,0.200498,-0.000382
8		,0.003500,-0.007721,0.202092,-0.000350
9		,0.004000,-0.008526,0.203541,-0.000028
10		,0.004500,-0.009009,0.205215,-0.000028
11		,0.005000,-0.008526,0.206552,0.000036
12		,0.005500,-0.009009,0.207485,-0.000092
13		,0.006000,-0.008526,0.208435,-0.000414
14		,0.006500,-0.008848,0.209224,-0.000060
15		,0.007000,-0.007882,0.209675,-0.000253
16		,0.007500,-0.006271,0.209466,-0.000157
17		,0.008000,-0.004661,0.209063,-0.000286
18		,0.008500,-0.003695,0.207791,-0.000736
19		,0.009000,-0.002407,0.206632,-0.000253
20		,0.009500,-0.001279,0.204523,-0.000189
21		,0.010000,-0.000796,0.202301,-0.000125
22		,0.010500,-0.001118,0.200144,-0.000221
23		,0.011000,-0.001118,0.199307,-0.000253
24		,0.011500,-0.002890,0.199146,-0.000189
25		,0.012000,-0.004339,0.199484,-0.000189
26		,0.012500,-0.005466,0.200257,-0.000318
27		,0.013000,-0.005949,0.201480,-0.000092
28		,0.013500,-0.007238,0.202768,-0.000221
29		,0.014000,-0.007399,0.203943,0.000230
30		,0.014500,-0.008204,0.205086,0.000262
31		,0.015000,-0.007560,0.206455,-0.000028
32		,0.015500,-0.007882,0.207437,-0.000125
33		,0.016000,-0.007721,0.208145,-0.000028
34		,0.016500,-0.008043,0.208918,-0.000028
35		,0.017000,-0.007721,0.209401,-0.000286
36		,0.017500,-0.007238,0.209289,-0.000157
37		,0.018000,-0.005788,0.208806,-0.000092
38		,0.018500,-0.005144,0.207791,-0.000092
39		,0.019000,-0.003695,0.206181,-0.000028
