Nr,t`s,Ch 00`V,Ch 01`V,Ch 02`V
1		,0.000000,1.118889,0.267328,-0.000474
2		,0.000250,1.000205,0.267489,-0.000635
3		,0.000500,0.877173,0.267811,-0.000313
4		,0.000750,0.764930,0.268456,-0.000474
5		,0.001000,0.654137,0.268133,-0.000474
6		,0.001250,0.530139,0.267811,-0.000635
7		,0.001500,0.399861,0.268456,-0.000635
8		,0.001750,0.254445,0.268456,-0.000635
9		,0.002000,0.071509,0.268617,-0.000957
10		,0.002250,-0.138160,0.267972,-0.000474
11		,0.002500,-0.325766,0.268778,-0.000313
12		,0.002750,-0.484224,0.268939,-0.000313
13		,0.003000,-0.628995,0.269100,-0.000474
14		,0.003250,-0.764748,0.268778,-0.000313
15		,0.003500,-0.879888,0.268939,-0.000635
16		,0.003750,-1.000181,0.268778,-0.000152
17		,0.004000,-1.134162,0.268617,-0.000796
18		,0.004250,-1.257032,0.268456,-0.000474
19		,0.004500,-1.376037,0.268617,-0.000635
20		,0.004750,-1.493593,0.268294,-0.000474
21		,0.005000,-1.591019,0.268617,-0.000313
22		,0.005250,-1.638524,0.267811,-0.000635
23		,0.005500,-1.657527,0.268133,-0.000635
24		,0.005750,-1.671859,0.268294,-0.000635
25		,0.006000,-1.675401,0.268456,-0.000152
26		,0.006250,-1.677173,0.268133,-0.000796
27		,0.006500,-1.683936,0.267489,-0.000635
28		,0.006750,-1.699235,0.267489,-0.000635
29		,0.007000,-1.700845,0.267811,-0.000313
30		,0.007250,-1.696658,0.268456,-0.000152
31		,0.007500,-1.683453,0.267650,-0.000474
32		,0.007750,-1.656882,0.267167,-0.000152
33		,0.008000,-1.633693,0.267650,-0.000635
34		,0.008250,-1.611471,0.267811,-0.000635
35		,0.008500,-1.591180,0.267811,-0.000474
36		,0.008750,-1.562033,0.267972,-0.000474
37		,0.009000,-1.527249,0.268133,-0.000635
38		,0.009250,-1.464284,0.267972,-0.000796
39		,0.009500,-1.361544,0.267811,-0.000313
40		,0.009750,-1.245599,0.267811,-0.000635
41		,0.010000,-1.129653,0.267650,-0.000635
42		,0.010250,-1.010487,0.267972,-0.000152
43		,0.010500,-0.887779,0.267972,-0.000152
44		,0.010750,-0.777147,0.267650,-0.000474
45		,0.011000,-0.666033,0.267328,-0.000152
46		,0.011250,-0.541392,0.266845,-0.000313
47		,0.011500,-0.410792,0.266845,-0.000635
48		,0.011750,-0.263445,0.267167,-0.000313
49		,0.012000,-0.077771,0.266684,-0.000635
50		,0.012250,0.132541,0.266845,-0.000313
51		,0.012500,0.317733,0.266523,-0.000313
52		,0.012750,0.474421,0.265879,-0.000313
53		,0.013000,0.619675,0.265718,-0.000796
54		,0.013250,0.754946,0.265074,-0.000313
55		,0.013500,0.868799,0.265396,-0.000474
56		,0.013750,0.990221,0.265718,-0.000474
57		,0.014000,1.123881,0.265235,-0.000635
58		,0.014250,1.246914,0.264913,-0.000796
59		,0.014500,1.366404,0.264430,-0.000313
60		,0.014750,1.482029,0.264269,-0.000313
61		,0.015000,1.578007,0.264430,-0.000474
62		,0.015250,1.622132,0.263785,-0.000152
63		,0.015500,1.640329,0.263947,-0.000796
64		,0.015750,1.654179,0.263785,-0.000474
65		,0.016000,1.657077,0.263785,-0.000313
66		,0.016250,1.659332,0.263624,-0.000313
67		,0.016500,1.665934,0.263624,-0.000635
68		,0.016750,1.680911,0.263947,-0.000796
69		,0.017000,1.682199,0.262980,-0.000635
70		,0.017250,1.677851,0.263785,-0.000313
71		,0.017500,1.664646,0.263785,-0.000313
72		,0.017750,1.637270,0.263302,-0.000313
73		,0.018000,1.613758,0.263141,-0.000474
74		,0.018250,1.592984,0.263141,-0.000313
75		,0.018500,1.571888,0.263302,-0.000474
76		,0.018750,1.541935,0.262980,-0.000474
77		,0.019000,1.506507,0.263141,-0.000635
78		,0.019250,1.440481,0.263141,-0.000313
79		,0.019500,1.335484,0.262819,-0.000313
80		,0.019750,1.220021,0.262980,-0.000313
81		,0.020000,1.104396,0.262497,-0.000474
82		,0.020250,0.984584,0.262658,-0.000474
83		,0.020500,0.862518,0.262658,-0.000474
84		,0.020750,0.752208,0.262497,-0.000635
85		,0.021000,0.639644,0.262497,-0.000152
86		,0.021250,0.514680,0.262336,-0.000635
87		,0.021500,0.383113,0.262175,-0.000474
88		,0.021750,0.233511,0.262014,-0.000313
89		,0.022000,0.044294,0.262014,-0.000796
90		,0.022250,-0.165536,0.261853,-0.000474
91		,0.022500,-0.347506,0.261048,-0.000313
92		,0.022750,-0.504032,0.262014,-0.000152
93		,0.023000,-0.649125,0.262014,-0.000313
94		,0.023250,-0.782784,0.261853,-0.000635
95		,0.023500,-0.896958,0.262980,-0.000313
96		,0.023750,-1.019827,0.262980,-0.000313
97		,0.024000,-1.151554,0.262336,-0.000313
98		,0.024250,-1.274424,0.263302,-0.000474
99		,0.024500,-1.392946,0.263947,-0.000635
100		,0.024750,-1.509535,0.263785,-0.000313
101		,0.025000,-1.602292,0.263785,-0.000635
102		,0.025250,-1.642067,0.261853,-0.000474
103		,0.025500,-1.661714,0.262980,-0.000635
104		,0.025750,-1.674757,0.263463,-0.000635
105		,0.026000,-1.676529,0.263463,-0.000635
106		,0.026250,-1.678139,0.263141,-0.000635
107		,0.026500,-1.685225,0.262819,-0.000474
108		,0.026750,-1.700523,0.261853,-0.000152
109		,0.027000,-1.702777,0.262497,-0.000635
110		,0.027250,-1.696497,0.261692,-0.000635
111		,0.027500,-1.681199,0.261692,-0.000474
112		,0.027750,-1.654467,0.261370,-0.000152
113		,0.028000,-1.630795,0.261209,-0.000635
114		,0.028250,-1.610665,0.261531,-0.000474
115		,0.028500,-1.589248,0.261209,-0.000474
116		,0.028750,-1.559456,0.261531,-0.000474
117		,0.029000,-1.522740,0.261370,-0.000474
118		,0.029250,-1.453173,0.261048,-0.000474
119		,0.029500,-1.346568,0.261048,-0.000474
120		,0.029750,-1.229495,0.261209,-0.000635
121		,0.030000,-1.113228,0.261209,-0.000474
122		,0.030250,-0.993579,0.261048,-0.000313
123		,0.030500,-0.871353,0.261370,-0.000635
124		,0.030750,-0.762332,0.261370,-0.000313
125		,0.031000,-0.648964,0.261692,-0.000313
126		,0.031250,-0.522873,0.261209,-0.000313
127		,0.031500,-0.390824,0.261370,-0.000152
128		,0.031750,-0.239129,0.262658,-0.000474
129		,0.032000,-0.047013,0.261692,-0.000474
130		,0.032250,0.160400,0.262175,-0.000313
131		,0.032500,0.340117,0.262980,-0.000474
132		,0.032750,0.495355,0.262658,-0.000313
133		,0.033000,0.640127,0.262497,-0.000313
134		,0.033250,0.773143,0.262658,-0.000796
135		,0.033500,0.886513,0.261692,-0.000313
136		,0.033750,1.011316,0.262175,-0.000152
137		,0.034000,1.144333,0.262658,-0.000313
138		,0.034250,1.265594,0.262175,-0.000796
139		,0.034500,1.384762,0.262014,-0.000313
140		,0.034750,1.500226,0.260887,-0.000313
141		,0.035000,1.589602,0.261370,-0.000635
142		,0.035250,1.627607,0.261853,-0.000152
143		,0.035500,1.646449,0.261853,-0.000474
144		,0.035750,1.659171,0.261692,-0.000313
145		,0.036000,1.659010,0.261370,-0.000313
146		,0.036250,1.661747,0.262014,-0.000474
147		,0.036500,1.670282,0.262014,-0.000313
148		,0.036750,1.684776,0.262497,-0.000474
149		,0.037000,1.685259,0.262175,-0.000635
150		,0.037250,1.678334,0.262014,-0.000635
151		,0.037500,1.661908,0.262980,-0.000474
152		,0.037750,1.635498,0.262819,-0.000635
153		,0.038000,1.610859,0.263302,-0.000635
154		,0.038250,1.590407,0.263785,-0.000474
155		,0.038500,1.568506,0.264269,-0.000474
156		,0.038750,1.537909,0.264913,-0.000313
157		,0.039000,1.500870,0.265074,-0.000474
158		,0.039250,1.427920,0.265718,-0.000635
159		,0.039500,1.319703,0.265718,-0.000474
160		,0.039750,1.202790,0.266684,-0.000474
161		,0.040000,1.086038,0.266040,-0.000635
162		,0.040250,0.965904,0.266040,-0.000474
163		,0.040500,0.844482,0.266362,-0.000474
164		,0.040750,0.736105,0.266362,-0.000313
165		,0.041000,0.621125,0.266362,-0.000635
166		,0.041250,0.495838,0.266201,-0.000474
167		,0.041500,0.362501,0.266201,-0.000474
168		,0.041750,0.207745,0.266040,-0.000474
169		,0.042000,0.012892,0.265557,-0.000474
170		,0.042250,-0.194522,0.265557,-0.000313
171		,0.042500,-0.371017,0.266040,-0.000957
172		,0.042750,-0.524322,0.265235,-0.000474
173		,0.043000,-0.669093,0.265879,-0.000313
174		,0.043250,-0.800014,0.265879,-0.000313
175		,0.043500,-0.913383,0.266040,-0.000152
176		,0.043750,-1.040601,0.266201,-0.000635
177		,0.044000,-1.171684,0.266362,-0.000313
178		,0.044250,-1.292943,0.265879,-0.000474
179		,0.044500,-1.412592,0.266201,-0.000474
180		,0.044750,-1.525961,0.266684,-0.000474
181		,0.045000,-1.611471,0.266523,-0.000474
182		,0.045250,-1.645127,0.266684,0.000009
183		,0.045500,-1.664129,0.266523,-0.000635
184		,0.045750,-1.676851,0.267167,-0.000474
185		,0.046000,-1.678300,0.267811,-0.000152
186		,0.046250,-1.680394,0.267972,-0.000635
187		,0.046500,-1.688284,0.268294,-0.000635
188		,0.046750,-1.701167,0.268456,-0.000635
189		,0.047000,-1.702133,0.268456,-0.000313
190		,0.047250,-1.695692,0.268617,-0.000635
191		,0.047500,-1.676851,0.269261,-0.000635
192		,0.047750,-1.650602,0.268778,-0.000474
193		,0.048000,-1.626769,0.269100,-0.000796
194		,0.048250,-1.607284,0.269261,-0.000635
195		,0.048500,-1.583933,0.269261,-0.000152
196		,0.048750,-1.552693,0.269261,-0.000313
197		,0.049000,-1.514044,0.269583,-0.000313
198		,0.049250,-1.436747,0.269583,-0.000796
199		,0.049500,-1.327727,0.269261,-0.000474
200		,0.049750,-1.212103,0.269583,-0.000474
201		,0.050000,-1.095675,0.269422,-0.000313
202		,0.050250,-0.975060,0.269583,-0.000474
203		,0.050500,-0.853317,0.269583,-0.000474
204		,0.050750,-0.745907,0.269583,-0.000313
205		,0.051000,-0.630444,0.269744,-0.000152
206		,0.051250,-0.504032,0.269422,-0.000474
207		,0.051500,-0.370050,0.269744,-0.000796
208		,0.051750,-0.212397,0.270227,-0.000474
209		,0.052000,-0.014806,0.270388,-0.000313
210		,0.052250,0.191158,0.270549,-0.000635
211		,0.052500,0.364433,0.270227,-0.000474
212		,0.052750,0.517256,0.270388,-0.000635
213		,0.053000,0.660417,0.270549,0.000009
214		,0.053250,0.790696,0.271032,-0.000152
215		,0.053500,0.902778,0.269905,-0.000152
216		,0.053750,1.030802,0.270227,-0.000474
217		,0.054000,1.161886,0.271354,-0.000635
218		,0.054250,1.283630,0.271032,-0.000957
219		,0.054500,1.402959,0.271193,-0.000635
220		,0.054750,1.516008,0.269905,-0.000796
221		,0.055000,1.597976,0.270066,-0.000474
222		,0.055250,1.628896,0.270227,-0.000635
223		,0.055500,1.647898,0.270549,-0.000635
224		,0.055750,1.659493,0.269744,0.000170
225		,0.056000,1.660137,0.268939,-0.000474
226		,0.056250,1.663358,0.269261,-0.000313
227		,0.056500,1.672859,0.269261,-0.000313
228		,0.056750,1.686386,0.268617,-0.000474
229		,0.057000,1.685581,0.268939,-0.000957
230		,0.057250,1.678334,0.267972,-0.000474
231		,0.057500,1.658205,0.268294,-0.000635
232		,0.057750,1.632438,0.267811,-0.000635
233		,0.058000,1.608927,0.268133,-0.000313
234		,0.058250,1.588636,0.267811,-0.000152
235		,0.058500,1.564641,0.266845,-0.000474
236		,0.058750,1.532917,0.268133,-0.000474
237		,0.059000,1.492979,0.267650,-0.000635
238		,0.059250,1.411655,0.267972,-0.000474
239		,0.059500,1.301183,0.267811,-0.000313
240		,0.059750,1.184431,0.267811,-0.000635
241		,0.060000,1.068001,0.268133,-0.000313
242		,0.060250,0.947063,0.267650,-0.000474
243		,0.060500,0.826607,0.267972,-0.000635
244		,0.060750,0.718552,0.268133,-0.000313
245		,0.061000,0.601317,0.268133,-0.000474
246		,0.061250,0.474743,0.267811,-0.000796
247		,0.061500,0.339311,0.268778,-0.000474
248		,0.061750,0.179242,0.268778,-0.000635
249		,0.062000,-0.019798,0.269261,-0.000635
250		,0.062250,-0.223669,0.269422,-0.000635
251		,0.062500,-0.395816,0.269261,-0.001118
252		,0.062750,-0.547189,0.267811,-0.000635
253		,0.063000,-0.690511,0.268617,-0.000474
254		,0.063250,-0.817889,0.268778,-0.000957
255		,0.063500,-0.929326,0.269100,-0.000474
256		,0.063750,-1.057832,0.268456,-0.000635
257		,0.064000,-1.188592,0.269100,0.000170
258		,0.064250,-1.310013,0.267972,-0.000313
259		,0.064500,-1.429179,0.268133,-0.000635
260		,0.064750,-1.541098,0.268456,-0.000474
261		,0.065000,-1.619039,0.268617,-0.000635
262		,0.065250,-1.646093,0.268617,-0.000474
263		,0.065500,-1.665095,0.268133,-0.000635
264		,0.065750,-1.675401,0.267811,-0.000474
265		,0.066000,-1.676851,0.268133,-0.000796
266		,0.066250,-1.680072,0.267972,-0.000635
267		,0.066500,-1.689734,0.267811,-0.000474
268		,0.066750,-1.701006,0.267489,-0.000313
269		,0.067000,-1.699396,0.267167,-0.000474
270		,0.067250,-1.692954,0.267167,-0.000474
271		,0.067500,-1.672503,0.267811,-0.000635
272		,0.067750,-1.645610,0.267006,-0.000635
273		,0.068000,-1.623548,0.267167,-0.000474
274		,0.068250,-1.603580,0.266684,-0.000474
275		,0.068500,-1.579263,0.267650,-0.000474
276		,0.068750,-1.547540,0.267811,-0.000474
277		,0.069000,-1.506153,0.267972,-0.000474
278		,0.069250,-1.422576,0.268294,-0.000474
279		,0.069500,-1.311462,0.267972,-0.000313
280		,0.069750,-1.194873,0.268456,-0.000313
281		,0.070000,-1.078444,0.267972,-0.000474
282		,0.070250,-0.957024,0.268133,-0.000313
283		,0.070500,-0.837697,0.267811,-0.000474
284		,0.070750,-0.729964,0.267328,-0.000635
285		,0.071000,-0.612247,0.267811,-0.000635
286		,0.071250,-0.485513,0.267167,-0.000635
287		,0.071500,-0.350243,0.266684,-0.000474
288		,0.071750,-0.187114,0.267489,-0.000474
289		,0.072000,0.015468,0.266845,-0.000313
290		,0.072250,0.219179,0.266845,-0.000313
291		,0.072500,0.388427,0.266201,-0.000635
292		,0.072750,0.538352,0.266523,-0.000313
293		,0.073000,0.680708,0.266362,-0.000474
294		,0.073250,0.807283,0.265879,-0.000796
295		,0.073500,0.919364,0.265718,-0.000474
296		,0.073750,1.049160,0.265396,-0.000474
297		,0.074000,1.178312,0.265235,-0.000474
298		,0.074250,1.299412,0.264913,-0.000635
299		,0.074500,1.418741,0.264913,-0.000635
300		,0.074750,1.529052,0.264430,-0.000635
301		,0.075000,1.604579,0.263302,-0.000635
302		,0.075250,1.628734,0.264430,-0.000313
303		,0.075500,1.647898,0.263947,-0.000313
304		,0.075750,1.658043,0.263785,-0.000474
305		,0.076000,1.657882,0.263947,-0.000474
306		,0.076250,1.661586,0.263141,-0.000474
307		,0.076500,1.671571,0.263463,-0.000313
308		,0.076750,1.683165,0.263785,-0.000474
309		,0.077000,1.680750,0.263624,-0.000152
310		,0.077250,1.673986,0.262980,-0.000152
311		,0.077500,1.652246,0.262819,-0.000635
312		,0.077750,1.626480,0.263463,-0.000313
313		,0.078000,1.604418,0.263141,-0.000474
314		,0.078250,1.585254,0.262980,-0.000635
315		,0.078500,1.559649,0.262980,-0.000635
316		,0.078750,1.528086,0.262980,-0.000474
317		,0.079000,1.483800,0.262658,-0.000796
318		,0.079250,1.397645,0.262819,-0.000796
319		,0.079500,1.285885,0.262819,-0.000313
320		,0.079750,1.169294,0.262819,-0.000474
321		,0.080000,1.053347,0.262497,-0.000313
322		,0.080250,0.930637,0.262658,-0.000474
323		,0.080500,0.812597,0.262497,-0.000474
324		,0.080750,0.704380,0.262980,-0.000635
325		,0.081000,0.586663,0.262658,-0.000635
326		,0.081250,0.458639,0.262497,-0.000635
327		,0.081500,0.321436,0.262819,-0.000635
328		,0.081750,0.154925,0.262175,-0.000474
329		,0.082000,-0.050073,0.262336,-0.000474
330		,0.082250,-0.249596,0.262336,-0.000313
331		,0.082500,-0.417717,0.262658,-0.000313
332		,0.082750,-0.567802,0.262175,-0.000635
333		,0.083000,-0.709513,0.261853,-0.000474
334		,0.083250,-0.835442,0.262497,-0.000313
335		,0.083500,-0.948167,0.262980,-0.000313
336		,0.083750,-1.079088,0.263624,-0.000313
337		,0.084000,-1.205984,0.263463,-0.000313
338		,0.084250,-1.325633,0.263785,-0.000635
339		,0.084500,-1.444960,0.263785,-0.000313
340		,0.084750,-1.555269,0.263463,-0.000635
341		,0.085000,-1.627091,0.263785,-0.000474
342		,0.085250,-1.650441,0.263785,-0.000635
343		,0.085500,-1.668155,0.263785,-0.000474
344		,0.085750,-1.676207,0.263463,-0.000152
345		,0.086000,-1.677978,0.262658,-0.000474
346		,0.086250,-1.681199,0.262819,-0.000313
347		,0.086500,-1.692471,0.262819,-0.000313
348		,0.086750,-1.702455,0.262497,-0.000474
349		,0.087000,-1.700040,0.262497,-0.000313
350		,0.087250,-1.691666,0.261048,-0.000635
351		,0.087500,-1.670570,0.261692,-0.000313
352		,0.087750,-1.643678,0.261370,-0.000635
353		,0.088000,-1.621294,0.261209,-0.000474
354		,0.088250,-1.602453,0.261048,-0.000957
355		,0.088500,-1.576848,0.261048,-0.000474
356		,0.088750,-1.544641,0.261209,-0.000635
357		,0.089000,-1.498746,0.261048,-0.000474
358		,0.089250,-1.408727,0.260887,-0.000313
359		,0.089500,-1.296003,0.260726,-0.000313
360		,0.089750,-1.178930,0.261048,-0.000474
361		,0.090000,-1.062341,0.261209,-0.000474
362		,0.090250,-0.939632,0.261048,-0.000635
363		,0.090500,-0.822398,0.261209,-0.000313
364		,0.090750,-0.714022,0.261370,-0.000635
365		,0.091000,-0.594695,0.261692,-0.000474
366		,0.091250,-0.466189,0.261531,-0.000313
367		,0.091500,-0.328503,0.261531,-0.000474
368		,0.091750,-0.160221,0.262336,-0.000152
369		,0.092000,0.045582,0.262980,-0.000313
370		,0.092250,0.244300,0.262819,-0.000152
371		,0.092500,0.410006,0.262819,-0.000474
372		,0.092750,0.558481,0.262497,-0.000152
373		,0.093000,0.700193,0.263141,-0.000474
374		,0.093250,0.824192,0.263141,-0.000474
375		,0.093500,0.938850,0.262658,-0.000635
376		,0.093750,1.070739,0.262175,-0.000152
377		,0.094000,1.197958,0.262175,-0.000474
378		,0.094250,1.317448,0.262497,-0.000313
379		,0.094500,1.436938,0.262014,-0.000474
380		,0.094750,1.545317,0.262175,-0.000635
381		,0.095000,1.612953,0.261853,-0.000635
382		,0.095250,1.634532,0.262014,-0.000474
383		,0.095500,1.652246,0.262175,-0.000474
384		,0.095750,1.660942,0.262175,-0.000313
385		,0.096000,1.660781,0.262175,-0.000474
386		,0.096250,1.665451,0.262175,-0.000474
387		,0.096500,1.676724,0.261692,-0.000474
388		,0.096750,1.685581,0.262819,-0.000474
389		,0.097000,1.682843,0.262819,-0.000474
390		,0.097250,1.674791,0.262497,-0.000152
391		,0.097500,1.649992,0.262980,-0.000313
392		,0.097750,1.622937,0.263302,-0.000313
393		,0.098000,1.601036,0.263463,-0.000474
394		,0.098250,1.582033,0.263785,-0.000474
395		,0.098500,1.555784,0.264430,-0.000796
396		,0.098750,1.523255,0.265396,-0.000474
397		,0.099000,1.474621,0.265074,-0.000313
398		,0.099250,1.382346,0.265396,-0.000474
399		,0.099500,1.268010,0.265718,-0.000313
400		,0.099750,1.150936,0.265557,-0.000635
401		,0.100000,1.034667,0.266040,-0.000152
402		,0.100250,0.911151,0.265879,-0.000635
403		,0.100500,0.795527,0.266201,-0.000474
404		,0.100750,0.687794,0.265879,-0.000635
405		,0.101000,0.567016,0.266201,-0.000474
406		,0.101250,0.438510,0.265879,-0.000635
407		,0.101500,0.298247,0.266040,-0.000474
408		,0.101750,0.126905,0.265879,-0.000474
409		,0.102000,-0.081475,0.265074,-0.000796
410		,0.102250,-0.276167,0.265718,-0.000635
411		,0.102500,-0.439779,0.265718,-0.000474
412		,0.102750,-0.588575,0.265718,-0.000152
413		,0.103000,-0.728676,0.265718,-0.000152
414		,0.103250,-0.850257,0.266040,-0.000474
415		,0.103500,-0.967008,0.265879,-0.000152
