Nr,t`s,Ch 00`V,Ch 01`V,Ch 02`V
1		,0.000000,-0.369889,-0.000768,0.341405
2		,0.000500,0.270066,-0.000897,0.341727
3		,0.001000,0.882809,-0.001026,0.342210
4		,0.001500,1.428242,-0.001316,0.342210
5		,0.002000,1.952905,-0.001090,0.342532
6		,0.002500,2.457765,-0.000897,0.343176
7		,0.003000,2.922369,-0.000994,0.343498
8		,0.003500,3.324654,-0.001026,0.344464
9		,0.004000,3.601166,-0.000865,0.345109
10		,0.004500,3.756091,-0.000929,0.346236
11		,0.005000,3.800379,-0.000640,0.346236
12		,0.005500,3.831461,-0.001283,0.346558
13		,0.006000,3.827596,-0.000414,0.346719
14		,0.006500,3.732096,-0.000189,0.345753
15		,0.007000,3.499064,-0.000092,0.346075
16		,0.007500,3.061670,0.000197,0.345914
17		,0.008000,2.536836,0.000230,0.345753
18		,0.008500,1.957575,0.000262,0.345753
19		,0.009000,1.402798,0.000230,0.346075
20		,0.009500,0.824192,0.000358,0.346719
21		,0.010000,0.244461,0.000455,0.347041
22		,0.010500,-0.407250,0.000262,0.347524
23		,0.011000,-1.005173,0.000519,0.348168
24		,0.011500,-1.545285,0.000680,0.348329
25		,0.012000,-2.057377,0.000648,0.348490
26		,0.012500,-2.561097,0.000680,0.348812
27		,0.013000,-3.026170,0.000648,0.348812
28		,0.013500,-3.410566,0.000745,0.348812
29		,0.014000,-3.678050,0.000712,0.348973
30		,0.014500,-3.793031,0.000165,0.349457
31		,0.015000,-3.836350,-0.001026,0.349779
32		,0.015500,-3.858090,0.000487,0.350584
33		,0.016000,-3.838444,0.000133,0.349940
34		,0.016500,-3.743270,0.000004,0.349940
35		,0.017000,-3.456301,-0.000092,0.350101
36		,0.017500,-3.008939,-0.000189,0.351067
37		,0.018000,-2.462382,-0.000479,0.351228
38		,0.018500,-1.895054,-0.000382,0.352677
39		,0.019000,-1.333363,-0.000511,0.353160
40		,0.019500,-0.747195,-0.000962,0.353482
41		,0.020000,-0.168756,-0.000897,0.353482
42		,0.020500,0.498254,-0.001090,0.353321
43		,0.021000,1.076697,-0.000962,0.352838
44		,0.021500,1.611181,-0.000962,0.352516
45		,0.022000,2.117971,-0.000897,0.351711
46		,0.022500,2.610432,-0.001090,0.350584
47		,0.023000,3.078258,-0.000962,0.350101
48		,0.023500,3.434646,-0.000962,0.349940
49		,0.024000,3.687164,-0.000736,0.349135
50		,0.024500,3.775900,-0.000607,0.348651
51		,0.025000,3.819382,-0.000704,0.348329
52		,0.025500,3.832266,-0.000318,0.348490
53		,0.026000,3.801506,-0.000318,0.348812
54		,0.026500,3.692479,-0.000318,0.348973
55		,0.027000,3.368135,-0.000189,0.350262
56		,0.027500,2.890805,-0.000286,0.350262
57		,0.028000,2.342460,0.000069,0.349779
58		,0.028500,1.768677,0.000584,0.349779
59		,0.029000,1.212935,0.000712,0.349618
60		,0.029500,0.622896,0.000197,0.349135
61		,0.030000,0.040751,0.000519,0.349296
62		,0.030500,-0.623198,0.000519,0.349135
